block_size,num_particles,run_time(ns)
2,1000000,7917327235
4,1000000,7177153824
8,1000000,7026717279
16,1000000,6958452795
32,1000000,6940143259
64,1000000,6966369988
128,1000000,6961623457
256,1000000,6894838029
512,1000000,6937000238
1,100,87529075
2,100,86817524
4,100,87514695
8,100,84960169
16,100,85901351
32,100,81745369
64,100,83201243
128,100,62753652
256,100,58087138
512,100,65855179
1,500,67462783
2,500,68154195
4,500,67940664
8,500,65433318
16,500,60665675
32,500,84751698
64,500,67220342
128,500,65496918
256,500,66087949
512,500,61322508
1,1000,67566733
2,1000,66723711
4,1000,90163001
8,1000,90852043
16,1000,66728081
32,1000,68425115
64,1000,74098130
128,1000,66161390
256,1000,69180198
512,1000,70292220
1,5000,117140311
2,5000,116258028
4,5000,93455920
8,5000,110174083
16,5000,90739473
32,5000,89119429
64,5000,88031357
128,5000,110366073
256,5000,89629050
512,5000,95132454
1,10000,138231755
2,10000,136006049
4,10000,132140720
8,10000,131540178
16,10000,153896275
32,10000,126646066
64,10000,130993356
128,10000,152681331
256,10000,151185119
512,10000,151579470
1,50000,458742988
2,50000,426551756
4,50000,400128867
8,50000,419910257
16,50000,411911208
32,50000,389505540
64,50000,392562329
128,50000,416156259
256,50000,389350500
512,50000,412026968
1,100000,865621183
2,100000,805474718
4,100000,764909594
8,100000,749767935
16,100000,769213765
32,100000,773850097
64,100000,767419210
128,100000,770794229
256,100000,783017779
512,100000,749613835
1,500000,3901499342
2,500000,3711886815
4,500000,3608037825
8,500000,3561786165
16,500000,3524343177
32,500000,3517867079
64,500000,3507407211
128,500000,3907171012
256,500000,3514530555
512,500000,3538915994
1,1000000,7757900296
2,1000000,7317921711
4,1000000,7133253312
8,1000000,7029084099
16,1000000,7029243482
32,1000000,6948170347
64,1000000,6946068467
128,1000000,6944997128
256,1000000,6964353470
512,1000000,6979038682
1,10000000,79722299961
2,10000000,75770970120
4,10000000,74401222047
8,10000000,73190759422
16,10000000,72789881617
32,10000000,72630450496
64,10000000,72556718232
128,10000000,72549691882
256,10000000,71970369374
512,10000000,72383195127
1,10000000,79296470314
2,10000000,76220839966
4,10000000,74743785030
8,10000000,73797613527
16,10000000,72846456357
32,10000000,72498386132
64,10000000,72694944272
128,10000000,74487548516
256,10000000,72713444559
512,10000000,72288722261
