Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
4 50000 run 4,99.6,"10,439,419",15,"695,961.3","691,814","701,286",Kernel Time
4 50000 run 5,99.6,"10,435,828",15,"695,721.9","688,194","700,385",Kernel Time
4 500000 run 1,99.7,"104,050,964",15,"6,936,730.9","6,682,443","9,176,058",Kernel Time
4 500000 run 2,99.7,"106,518,301",15,"7,101,220.1","6,682,512","9,181,218",Kernel Time
4 500000 run 3,99.7,"111,437,332",15,"7,429,155.5","6,684,624","9,627,428",Kernel Time
4 500000 run 4,99.7,"106,433,336",15,"7,095,555.7","6,681,071","9,585,156",Kernel Time
4 500000 run 5,99.7,"100,350,268",15,"6,690,017.9","6,678,118","6,716,006",Kernel Time
512 100 run 1,96.6,"596,423",15,"39,761.5","39,392","41,793",Kernel Time
512 100 run 2,96.6,"596,968",15,"39,797.9","39,457","41,793",Kernel Time
512 100 run 3,96.6,"597,064",15,"39,804.3","39,521","42,080",Kernel Time
512 100 run 4,96.6,"597,002",15,"39,800.1","39,521","41,856",Kernel Time
512 100 run 5,96.6,"597,412",15,"39,827.5","39,488","42,016",Kernel Time
512 1000 run 1,97.2,"1,193,549",15,"79,569.9","78,049","83,232",Kernel Time
512 1000 run 2,97.2,"1,193,934",15,"79,595.6","78,337","82,753",Kernel Time
512 1000 run 3,97.2,"1,189,968",15,"79,331.2","77,793","83,297",Kernel Time
512 1000 run 4,97.3,"1,200,624",15,"80,041.6","77,760","82,561",Kernel Time
512 1000 run 5,97.2,"1,195,146",15,"79,676.4","78,113","82,817",Kernel Time
512 10000 run 1,97.1,"1,209,902",15,"80,660.1","79,617","82,913",Kernel Time
512 10000 run 2,97.1,"1,215,663",15,"81,044.2","79,264","83,041",Kernel Time
512 10000 run 3,97.2,"1,222,350",15,"81,490.0","79,457","83,425",Kernel Time
512 10000 run 4,97.1,"1,226,990",15,"81,799.3","79,713","83,169",Kernel Time
512 10000 run 5,97.1,"1,223,523",15,"81,568.2","79,552","83,552",Kernel Time
512 100000 run 1,98.0,"3,576,474",15,"238,431.6","237,602","239,746",Kernel Time
512 100000 run 2,98.0,"3,577,689",15,"238,512.6","237,794","240,482",Kernel Time
512 100000 run 3,98.0,"3,578,268",15,"238,551.2","237,282","239,938",Kernel Time
512 100000 run 4,98.0,"3,579,326",15,"238,621.7","237,410","240,354",Kernel Time
512 100000 run 5,98.0,"3,504,296",15,"233,619.7","231,873","239,968",Kernel Time
512 1000000 run 1,97.8,"28,724,508",15,"1,914,967.2","1,910,413","1,922,028",Kernel Time
512 1000000 run 2,97.8,"28,705,443",15,"1,913,696.2","1,908,045","1,920,589",Kernel Time
512 1000000 run 3,97.8,"28,699,115",15,"1,913,274.3","1,907,885","1,920,749",Kernel Time
512 1000000 run 4,97.8,"28,705,330",15,"1,913,688.7","1,907,662","1,920,558",Kernel Time
512 1000000 run 5,97.8,"28,712,707",15,"1,914,180.5","1,911,268","1,920,100",Kernel Time
512 500 run 1,97.1,"1,189,869",15,"79,324.6","77,345","82,241",Kernel Time
512 500 run 2,97.1,"1,187,955",15,"79,197.0","76,801","83,010",Kernel Time
512 500 run 3,97.0,"1,193,492",15,"79,566.1","77,633","84,226",Kernel Time
512 500 run 4,97.0,"1,189,554",15,"79,303.6","77,377","84,225",Kernel Time
512 500 run 5,97.1,"1,184,104",15,"78,940.3","77,281","82,497",Kernel Time
512 5000 run 1,97.2,"1,203,886",15,"80,259.1","78,657","82,689",Kernel Time
512 5000 run 2,97.2,"1,201,967",15,"80,131.1","78,497","83,489",Kernel Time
512 5000 run 3,97.3,"1,209,934",15,"80,662.3","79,137","82,945",Kernel Time
512 5000 run 4,97.3,"1,206,669",15,"80,444.6","79,458","82,976",Kernel Time
512 5000 run 5,97.2,"1,209,157",15,"80,610.5","79,136","83,457",Kernel Time
512 50000 run 1,98.2,"2,420,500",15,"161,366.7","158,177","162,913",Kernel Time
512 50000 run 2,98.1,"2,412,370",15,"160,824.7","155,938","163,841",Kernel Time
512 50000 run 3,98.2,"2,425,205",15,"161,680.3","157,473","164,033",Kernel Time
512 50000 run 4,98.2,"2,420,853",15,"161,390.2","156,097","163,170",Kernel Time
512 50000 run 5,98.1,"2,349,767",15,"156,651.1","154,976","162,529",Kernel Time
512 500000 run 1,97.8,"14,967,328",15,"997,821.9","994,215","1,001,094",Kernel Time
512 500000 run 2,97.3,"14,968,997",15,"997,933.1","994,471","1,002,535",Kernel Time
512 500000 run 3,97.8,"14,968,233",15,"997,882.2","995,079","1,001,703",Kernel Time
512 500000 run 4,97.8,"14,962,061",15,"997,470.7","995,463","1,001,576",Kernel Time
512 500000 run 5,97.8,"14,915,222",15,"994,348.1","989,569","1,001,089",Kernel Time
64 100 run 1,96.2,"529,926",15,"35,328.4","35,104","37,472",Kernel Time
64 100 run 2,96.2,"530,279",15,"35,351.9","35,105","37,441",Kernel Time
64 100 run 3,96.1,"530,152",15,"35,343.5","35,136","37,473",Kernel Time
64 100 run 4,96.2,"530,119",15,"35,341.3","35,136","37,440",Kernel Time
64 100 run 5,96.2,"530,883",15,"35,392.2","35,136","37,505",Kernel Time
64 1000 run 1,94.0,"537,764",15,"35,850.9","35,136","37,600",Kernel Time
64 1000 run 2,93.9,"531,431",15,"35,428.7","35,104","37,184",Kernel Time
64 1000 run 3,94.0,"531,204",15,"35,413.6","35,072","37,280",Kernel Time
64 1000 run 4,94.0,"532,167",15,"35,477.8","35,104","37,441",Kernel Time
64 1000 run 5,93.9,"531,843",15,"35,456.2","35,104","37,824",Kernel Time
64 10000 run 1,94.5,"606,375",15,"40,425.0","39,968","41,888",Kernel Time
64 10000 run 2,94.4,"612,807",15,"40,853.8","39,905","42,176",Kernel Time
64 10000 run 3,94.2,"606,915",15,"40,461.0","39,936","41,920",Kernel Time
64 10000 run 4,94.5,"617,290",15,"41,152.7","40,160","42,209",Kernel Time
64 10000 run 5,94.6,"605,795",15,"40,386.3","39,904","42,049",Kernel Time
64 100000 run 1,97.4,"2,665,362",15,"177,690.8","176,929","178,913",Kernel Time
64 100000 run 2,97.0,"2,663,768",15,"177,584.5","176,545","179,938",Kernel Time
64 100000 run 3,97.4,"2,660,820",15,"177,388.0","176,609","178,721",Kernel Time
64 100000 run 4,97.4,"2,662,709",15,"177,513.9","176,546","179,010",Kernel Time
64 100000 run 5,97.4,"2,678,820",15,"178,588.0","176,512","179,648",Kernel Time
64 1000000 run 1,97.5,"25,283,171",15,"1,685,544.7","1,679,755","1,699,435",Kernel Time
64 1000000 run 2,97.5,"25,275,310",15,"1,685,020.7","1,679,339","1,704,428",Kernel Time
64 1000000 run 3,97.5,"25,267,890",15,"1,684,526.0","1,679,180","1,698,540",Kernel Time
64 1000000 run 4,97.2,"25,270,099",15,"1,684,673.3","1,679,244","1,699,340",Kernel Time
64 1000000 run 5,97.5,"25,270,768",15,"1,684,717.9","1,679,108","1,699,331",Kernel Time
64 500 run 1,93.8,"530,982",15,"35,398.8","35,009","37,440",Kernel Time
64 500 run 2,93.8,"531,335",15,"35,422.3","35,009","37,665",Kernel Time
64 500 run 3,93.9,"532,612",15,"35,507.5","35,008","37,408",Kernel Time
64 500 run 4,93.8,"531,049",15,"35,403.3","35,008","37,408",Kernel Time
64 500 run 5,93.8,"530,981",15,"35,398.7","35,008","37,441",Kernel Time
64 5000 run 1,93.9,"535,047",15,"35,669.8","35,297","37,888",Kernel Time
64 5000 run 2,93.9,"536,807",15,"35,787.1","35,456","38,240",Kernel Time
64 5000 run 3,93.9,"538,310",15,"35,887.3","35,360","38,016",Kernel Time
64 5000 run 4,94.0,"539,075",15,"35,938.3","35,392","38,017",Kernel Time
64 5000 run 5,93.9,"534,882",15,"35,658.8","35,360","37,920",Kernel Time
64 50000 run 1,96.9,"1,373,516",15,"91,567.7","90,560","92,608",Kernel Time
64 50000 run 2,96.8,"1,388,332",15,"92,555.5","90,336","111,681",Kernel Time
64 50000 run 3,96.8,"1,367,435",15,"91,162.3","89,633","92,064",Kernel Time
64 50000 run 4,96.9,"1,366,670",15,"91,111.3","90,273","92,288",Kernel Time
64 50000 run 5,97.0,"1,367,305",15,"91,153.7","90,304","91,808",Kernel Time
64 500000 run 1,97.4,"12,761,716",15,"850,781.1","847,718","857,509",Kernel Time
64 500000 run 2,97.4,"12,754,038",15,"850,269.2","846,885","861,030",Kernel Time
64 500000 run 3,97.4,"12,748,090",15,"849,872.7","847,078","856,038",Kernel Time
64 500000 run 4,97.1,"12,746,522",15,"849,768.1","847,110","856,518",Kernel Time
64 500000 run 5,97.4,"12,743,822",15,"849,588.1","846,433","856,065",Kernel Time
8 100 run 1,96.1,"521,412",15,"34,760.8","34,560","36,481",Kernel Time
8 100 run 2,95.8,"521,446",15,"34,763.1","34,560","36,641",Kernel Time
8 100 run 3,96.1,"521,736",15,"34,782.4","34,560","36,577",Kernel Time
8 100 run 4,95.9,"521,609",15,"34,773.9","34,592","36,609",Kernel Time
8 100 run 5,96.1,"521,640",15,"34,776.0","34,561","36,609",Kernel Time
8 1000 run 1,93.9,"528,458",15,"35,230.5","35,009","37,280",Kernel Time
8 1000 run 2,93.9,"528,070",15,"35,204.7","34,976","36,961",Kernel Time
8 1000 run 3,94.0,"528,104",15,"35,206.9","34,976","36,833",Kernel Time
8 1000 run 4,93.9,"528,104",15,"35,206.9","35,008","36,960",Kernel Time
8 1000 run 5,93.9,"527,913",15,"35,194.2","34,977","36,961",Kernel Time
8 10000 run 1,97.0,"1,170,831",15,"78,055.4","77,697","78,977",Kernel Time
8 10000 run 2,97.1,"1,173,455",15,"78,230.3","77,633","79,713",Kernel Time
8 10000 run 3,97.0,"1,171,950",15,"78,130.0","77,537","79,617",Kernel Time
8 10000 run 4,97.1,"1,168,080",15,"77,872.0","77,537","78,529",Kernel Time
8 10000 run 5,97.1,"1,173,188",15,"78,212.5","77,569","79,456",Kernel Time
8 100000 run 1,99.3,"10,473,225",15,"698,215.0","694,949","702,629",Kernel Time
8 100000 run 2,99.3,"10,472,462",15,"698,164.1","695,397","700,838",Kernel Time
8 100000 run 3,99.3,"10,491,219",15,"699,414.6","696,517","703,142",Kernel Time
8 100000 run 4,99.3,"10,480,115",15,"698,674.3","694,534","701,318",Kernel Time
8 100000 run 5,99.3,"10,391,920",15,"692,794.7","687,969","699,585",Kernel Time
8 1000000 run 1,99.4,"105,294,820",15,"7,019,654.7","6,682,891","9,150,075",Kernel Time
8 1000000 run 2,99.4,"114,911,467",15,"7,660,764.5","6,684,141","9,610,433",Kernel Time
8 1000000 run 3,99.4,"108,273,749",15,"7,218,249.9","6,683,727","9,597,379",Kernel Time
8 1000000 run 4,99.4,"112,072,089",15,"7,471,472.6","6,684,527","9,620,612",Kernel Time
8 1000000 run 5,99.3,"109,926,071",15,"7,328,404.7","6,684,235","9,638,768",Kernel Time
8 500 run 1,93.7,"521,063",15,"34,737.5","34,496","36,353",Kernel Time
8 500 run 2,93.7,"520,935",15,"34,729.0","34,497","36,320",Kernel Time
8 500 run 3,93.5,"521,288",15,"34,752.5","34,496","36,481",Kernel Time
8 500 run 4,93.4,"522,344",15,"34,822.9","34,497","37,632",Kernel Time
8 500 run 5,93.8,"525,028",15,"35,001.9","34,497","36,385",Kernel Time
8 5000 run 1,95.9,"802,921",15,"53,528.1","53,249","54,240",Kernel Time
8 5000 run 2,95.6,"806,442",15,"53,762.8","53,441","54,625",Kernel Time
8 5000 run 3,95.9,"804,939",15,"53,662.6","53,473","54,625",Kernel Time
8 5000 run 4,95.7,"803,722",15,"53,581.5","53,249","54,689",Kernel Time
8 5000 run 5,95.9,"803,268",15,"53,551.2","53,312","54,560",Kernel Time
8 50000 run 1,99.2,"5,370,733",15,"358,048.9","352,547","361,699",Kernel Time
8 50000 run 2,99.2,"5,377,774",15,"358,518.3","352,867","361,411",Kernel Time
8 50000 run 3,99.2,"5,385,103",15,"359,006.9","352,739","361,667",Kernel Time
8 50000 run 4,99.2,"5,374,480",15,"358,298.7","351,779","361,507",Kernel Time
8 50000 run 5,99.2,"5,399,052",15,"359,936.8","357,409","361,857",Kernel Time
8 500000 run 1,99.3,"51,710,283",15,"3,447,352.2","3,360,278","4,574,429",Kernel Time
8 500000 run 2,99.3,"51,685,796",15,"3,445,719.7","3,360,792","4,539,167",Kernel Time
8 500000 run 3,99.3,"54,035,136",15,"3,602,342.4","3,361,783","4,542,560",Kernel Time
8 500000 run 4,99.3,"52,880,571",15,"3,525,371.4","3,363,064","4,541,185",Kernel Time
8 500000 run 5,99.3,"50,780,303",15,"3,385,353.5","3,353,315","3,687,171",Kernel Time
