Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
128 1000000 run 5,97.5,"25,275,346",15,"1,685,023.1","1,679,779","1,698,499",Kernel Time
128 500 run 1,94.5,"597,479",15,"39,831.9","39,584","41,888",Kernel Time
128 500 run 2,94.4,"597,160",15,"39,810.7","39,489","41,888",Kernel Time
128 500 run 3,94.5,"597,160",15,"39,810.7","39,521","41,857",Kernel Time
128 500 run 4,94.4,"597,130",15,"39,808.7","39,521","41,889",Kernel Time
128 500 run 5,94.5,"598,054",15,"39,870.3","39,585","41,889",Kernel Time
128 5000 run 1,94.6,"597,507",15,"39,833.8","39,616","41,824",Kernel Time
128 5000 run 2,94.5,"602,567",15,"40,171.1","39,584","41,889",Kernel Time
128 5000 run 3,94.6,"597,772",15,"39,851.5","39,617","41,761",Kernel Time
128 5000 run 4,94.5,"598,057",15,"39,870.5","39,617","41,857",Kernel Time
128 5000 run 5,94.7,"604,517",15,"40,301.1","39,745","41,952",Kernel Time
128 50000 run 1,96.8,"1,372,939",15,"91,529.3","90,560","92,481",Kernel Time
128 50000 run 2,96.8,"1,368,717",15,"91,247.8","90,497","91,937",Kernel Time
128 50000 run 3,96.8,"1,367,851",15,"91,190.1","90,400","91,873",Kernel Time
128 50000 run 4,96.8,"1,365,896",15,"91,059.7","89,697","91,808",Kernel Time
128 50000 run 5,96.8,"1,366,817",15,"91,121.1","90,528","91,936",Kernel Time
128 500000 run 1,97.1,"12,768,916",15,"851,261.1","848,166","862,693",Kernel Time
128 500000 run 2,97.4,"12,751,993",15,"850,132.9","847,302","856,967",Kernel Time
128 500000 run 3,97.4,"12,750,907",15,"850,060.5","847,206","856,390",Kernel Time
128 500000 run 4,97.4,"12,752,637",15,"850,175.8","847,238","856,902",Kernel Time
128 500000 run 5,97.4,"12,747,088",15,"849,805.9","846,721","857,025",Kernel Time
16 100 run 1,96.1,"523,208",15,"34,880.5","34,657","37,024",Kernel Time
16 100 run 2,95.8,"523,976",15,"34,931.7","34,720","37,152",Kernel Time
16 100 run 3,96.1,"523,910",15,"34,927.3","34,720","37,088",Kernel Time
16 100 run 4,96.1,"524,039",15,"34,935.9","34,720","37,057",Kernel Time
16 100 run 5,96.1,"524,227",15,"34,948.5","34,720","37,088",Kernel Time
16 1000 run 1,93.9,"524,135",15,"34,942.3","34,624","36,800",Kernel Time
16 1000 run 2,93.9,"524,229",15,"34,948.6","34,625","36,577",Kernel Time
16 1000 run 3,93.9,"524,070",15,"34,938.0","34,625","36,609",Kernel Time
16 1000 run 4,93.9,"524,809",15,"34,987.3","34,624","37,217",Kernel Time
16 1000 run 5,93.9,"524,579",15,"34,971.9","34,624","36,737",Kernel Time
16 10000 run 1,95.8,"811,878",15,"54,125.2","53,344","55,392",Kernel Time
16 10000 run 2,95.8,"810,792",15,"54,052.8","53,344","55,104",Kernel Time
16 10000 run 3,95.7,"805,480",15,"53,698.7","53,280","54,881",Kernel Time
16 10000 run 4,95.7,"808,969",15,"53,931.3","53,377","55,168",Kernel Time
16 10000 run 5,95.7,"808,549",15,"53,903.3","53,281","55,297",Kernel Time
16 100000 run 1,98.7,"5,396,934",15,"359,795.6","358,499","361,123",Kernel Time
16 100000 run 2,98.6,"5,392,039",15,"359,469.3","357,666","361,731",Kernel Time
16 100000 run 3,98.7,"5,400,810",15,"360,054.0","358,115","364,962",Kernel Time
16 100000 run 4,98.7,"5,392,138",15,"359,475.9","357,858","361,667",Kernel Time
16 100000 run 5,98.7,"5,323,654",15,"354,910.3","351,168","361,729",Kernel Time
16 1000000 run 1,98.8,"52,939,166",15,"3,529,277.7","3,361,430","4,578,622",Kernel Time
16 1000000 run 2,98.8,"52,485,127",15,"3,499,008.5","3,360,439","4,557,375",Kernel Time
16 1000000 run 3,98.8,"51,721,193",15,"3,448,079.5","3,361,623","4,553,120",Kernel Time
16 1000000 run 4,98.8,"52,603,576",15,"3,506,905.1","3,361,848","4,686,082",Kernel Time
16 1000000 run 5,98.7,"52,947,709",15,"3,529,847.3","3,362,757","4,586,184",Kernel Time
16 500 run 1,93.7,"523,014",15,"34,867.6","34,496","36,416",Kernel Time
16 500 run 2,93.7,"522,726",15,"34,848.4","34,497","36,512",Kernel Time
16 500 run 3,93.8,"525,256",15,"35,017.1","34,657","36,768",Kernel Time
16 500 run 4,93.7,"522,891",15,"34,859.4","34,497","36,545",Kernel Time
16 500 run 5,93.7,"522,886",15,"34,859.1","34,497","36,544",Kernel Time
16 5000 run 1,94.5,"598,757",15,"39,917.1","39,584","41,312",Kernel Time
16 5000 run 2,94.3,"598,025",15,"39,868.3","39,552","41,344",Kernel Time
16 5000 run 3,94.5,"598,085",15,"39,872.3","39,553","41,504",Kernel Time
16 5000 run 4,94.6,"600,936",15,"40,062.4","39,744","41,601",Kernel Time
16 5000 run 5,94.6,"598,020",15,"39,868.0","39,552","41,184",Kernel Time
16 50000 run 1,98.5,"2,950,233",15,"196,682.2","192,098","200,546",Kernel Time
16 50000 run 2,98.5,"2,955,258",15,"197,017.2","192,002","200,418",Kernel Time
16 50000 run 3,98.5,"2,954,265",15,"196,951.0","191,297","199,746",Kernel Time
16 50000 run 4,98.6,"2,959,863",15,"197,324.2","193,665","199,938",Kernel Time
16 50000 run 5,98.5,"2,958,918",15,"197,261.2","192,576","200,353",Kernel Time
16 500000 run 1,98.7,"25,543,233",15,"1,702,882.2","1,697,866","1,711,115",Kernel Time
16 500000 run 2,98.7,"25,544,721",15,"1,702,981.4","1,698,348","1,710,156",Kernel Time
16 500000 run 3,98.7,"25,542,006",15,"1,702,800.4","1,698,285","1,711,116",Kernel Time
16 500000 run 4,98.7,"25,541,463",15,"1,702,764.2","1,698,284","1,712,012",Kernel Time
